group_id,context,representative_tag,member_count,total_occurrences,members,member_occurrences
21,genre_tree.traits,complex resource management,7,7016,Resource management | Resource Management | resource management | Resource Control | Resource management alternative | System Resource Management | complex resource management,Resource management:3332; Resource Management:3054; resource management:626; Resource Control:1; Resource management alternative:1; System Resource Management:1; complex resource management:1
22,genre_tree.sub,Open world,4,7013,Open World | Open-world | Open-World | Open world,Open World:6907; Open-world:93; Open-World:7; Open world:6
23,genre_tree.sub,Stealth-based,6,6730,Stealth | Stealth Action | Stealth Game | Stealth-Action | Stealth-based | Tactical Stealth,Stealth:6333; Stealth Action:385; Stealth Game:9; Stealth-Action:1; Stealth-based:1; Tactical Stealth:1
24,genre_tree.traits,character customization,4,6705,Character customization | Character Customization | character customization | Limited character customization,Character customization:5292; Character Customization:757; character customization:655; Limited character customization:1
25,genre_tree.primary,Survival,1,6685,Survival,Survival:6685
26,micro_tags,weather dynamics,2,5837,dynamic weather | weather dynamics,dynamic weather:5836; weather dynamics:1
27,genre_tree.traits,Character Development,3,4909,Character Development | Character development | character development,Character Development:4170; Character development:609; character development:130
28,genre_tree.sub,Metroidvania,1,4445,Metroidvania,Metroidvania:4445
29,micro_tags,retro visuals,3,4359,retro graphics | retro visuals | graphics retro,retro graphics:4345; retro visuals:13; graphics retro:1
30,genre_tree.traits,non-linear narrative,8,4139,Non-linear storytelling | non-linear storytelling | Non-linear Storytelling | Non-linear narrative | non-linear narrative | Non-linear Narrative | Linear Storytelling | Non-Linear Storytelling,Non-linear storytelling:3719; non-linear storytelling:355; Non-linear Storytelling:46; Non-linear narrative:11; non-linear narrative:4; Non-linear Narrative:2; Linear Storytelling:1; Non-Linear Storytelling:1
31,micro_tags,resource system,8,4104,resource management | resource control | resource building | resource planning | resource-management | resource manager | resource strategy | resource system,resource management:4085; resource control:10; resource building:2; resource planning:2; resource-management:2; resource manager:1; resource strategy:1; resource system:1
32,genre_tree.sub,Survival Horror,3,4006,Survival Horror | Survival horror | Horror Survival,Survival Horror:3999; Survival horror:5; Horror Survival:2
33,genre_tree.sub,Open World RPG,1,3748,Open World RPG,Open World RPG:3748
34,genre_tree.primary,Simulation,1,3535,Simulation,Simulation:3535
35,genre_tree.traits,Environmental Storytelling,4,3321,Environmental storytelling | Environmental Storytelling | environmental storytelling | environmental narrative,Environmental storytelling:2401; Environmental Storytelling:785; environmental storytelling:134; environmental narrative:1
36,genre_tree.sub,Survival,1,3230,Survival,Survival:3230
37,genre_tree.primary,Strategy,1,3162,Strategy,Strategy:3162
38,micro_tags,atmospheric world,5,3014,atmospheric | atmospheric world | atmosphere | atmospheric mystery | atmospheric style,atmospheric:2991; atmospheric world:11; atmosphere:10; atmospheric mystery:1; atmospheric style:1
39,genre_tree.traits,Story Driven,8,2915,Story-driven | Narrative-driven | story-driven | narrative-driven | Story-Driven | Narrative-Driven | Story Driven | story driven,Story-driven:1262; Narrative-driven:947; story-driven:363; narrative-driven:157; Story-Driven:130; Narrative-Driven:44; Story Driven:10; story driven:2
40,genre_tree.sub,Interactive Fiction,1,2913,Interactive Fiction,Interactive Fiction:2913
41,micro_tags,multiplayer combat,8,2580,multiplayer | multiplayer fun | online multiplayer | fun multiplayer | multiplayer combat | friend multiplayer | multiplayer only | multiplayer variety,multiplayer:2324; multiplayer fun:207; online multiplayer:32; fun multiplayer:8; multiplayer combat:6; friend multiplayer:1; multiplayer only:1; multiplayer variety:1
42,genre_tree.traits,Environmental Puzzles,3,2577,Environmental puzzles | Environmental Puzzles | environmental puzzles,Environmental puzzles:2233; Environmental Puzzles:204; environmental puzzles:140
43,micro_tags,immersive feel,8,2268,immersive | immersive experience | immersive world | immersive choices | immersive ambiance | immersive feel | immersive fun | immersive nature,immersive:859; immersive experience:733; immersive world:670; immersive choices:2; immersive ambiance:1; immersive feel:1; immersive fun:1; immersive nature:1
44,genre_tree.traits,choice-driven,7,2258,Choice-based | Choice-Based | Choice-driven | choice-based | choice-driven | Choice-Driven | Choice Based,Choice-based:1138; Choice-Based:656; Choice-driven:412; choice-based:21; choice-driven:18; Choice-Driven:10; Choice Based:3
45,genre_tree.sub,Crafting Game,2,2237,Crafting | Crafting Game,Crafting:2231; Crafting Game:6
46,genre_tree.sub,Co-op,1,2204,Co-op,Co-op:2204
47,genre_tree.traits,Dynamic choices,3,2186,Dynamic Choices | Dynamic choices | dynamic choices,Dynamic Choices:1325; Dynamic choices:685; dynamic choices:176
48,genre_tree.traits,Story Branching,8,2185,Branching storylines | Branching Storylines | Branching narratives | branching storylines | Branching Narratives | branching narratives | Branching narrative | Story Branching,Branching storylines:1274; Branching Storylines:495; Branching narratives:230; branching storylines:83; Branching Narratives:62; branching narratives:28; Branching narrative:12; Story Branching:1
49,genre_tree.traits,single player,8,2039,Single-player | Single Player | single-player | Single-Player | Single player | single player | Single Player Friendly | Single-player and multiplayer,Single-player:1630; Single Player:285; single-player:94; Single-Player:14; Single player:8; single player:6; Single Player Friendly:1; Single-player and multiplayer:1
50,micro_tags,tactics combat,8,2001,combat strategy | strategic combat | military strategy | combat tactics | tactical strategy | battle strategy | strategy combat | tactics combat,combat strategy:1821; strategic combat:106; military strategy:20; combat tactics:19; tactical strategy:18; battle strategy:11; strategy combat:5; tactics combat:1
51,micro_tags,character customization,4,2000,character customization | character-customization | customizable character | custom character,character customization:1995; character-customization:2; customizable character:2; custom character:1
52,micro_tags,dynamic choices,1,1963,dynamic choices,dynamic choices:1963
53,micro_tags,action survival,6,1919,survival | survival struggle | survival challenges | survival fight | action survival | realistic survival,survival:1910; survival struggle:3; survival challenges:2; survival fight:2; action survival:1; realistic survival:1
54,micro_tags,time manipulation,2,1899,time manipulation | time-manipulation,time manipulation:1895; time-manipulation:4
55,genre_tree.sub,Narrative-Driven,5,1837,Narrative-driven | Story-driven | Narrative-Driven | Narrative Driven | Story-Driven,Narrative-driven:1765; Story-driven:46; Narrative-Driven:12; Narrative Driven:10; Story-Driven:4
56,micro_tags,story choice,4,1807,narrative choice | narrative choices | choice narrative | story choice,narrative choice:1120; narrative choices:685; choice narrative:1; story choice:1
57,genre_tree.traits,Atmospheric Environment,8,1798,Atmospheric | atmospheric | Atmospheric World | Atmospheric world | Atmospheric environments | Atmospheric Environments | Atmospheric Environment | atmospheric world,Atmospheric:1666; atmospheric:48; Atmospheric World:34; Atmospheric world:33; Atmospheric environments:8; Atmospheric Environments:4; Atmospheric Environment:3; atmospheric world:2
58,micro_tags,poor character development,2,1764,character development | poor character development,character development:1763; poor character development:1
59,genre_tree.traits,fast paced,8,1744,Fast-paced | fast-paced | Fast-Paced | Slow-paced | slow-paced | fast paced | Fast Paced | high-paced,Fast-paced:1129; fast-paced:465; Fast-Paced:133; Slow-paced:9; slow-paced:4; fast paced:2; Fast Paced:1; high-paced:1
60,genre_tree.sub,Point & Click,3,1737,Point-and-Click | Point and Click | Point & Click,Point-and-Click:1564; Point and Click:141; Point & Click:32
61,genre_tree.traits,Character progression,3,1731,Character progression | Character Progression | character progression,Character progression:976; Character Progression:528; character progression:227
62,genre_tree.traits,Immersive Environment,8,1730,Immersive world | immersive world | Immersive environment | immersive | Immersive Environment | Immersive World | immersive environment | Immersive Worlds,Immersive world:643; immersive world:456; Immersive environment:245; immersive:191; Immersive Environment:87; Immersive World:63; immersive environment:44; Immersive Worlds:1
63,genre_tree.sub,Exploration,3,1701,Exploration | Exploration Action | Exploration Adventure,Exploration:1699; Exploration Action:1; Exploration Adventure:1
64,genre_tree.sub,Narrative,1,1692,Narrative,Narrative:1692
65,genre_tree.traits,multiple endings,3,1635,Multiple endings | Multiple Endings | multiple endings,Multiple endings:1427; Multiple Endings:184; multiple endings:24
66,genre_tree.sub,Puzzle-platformer,5,1596,Puzzle Platformer | Puzzle-Platformer | Puzzle-platformer | 2D Puzzle-Platformer | Puzzle platformer,Puzzle Platformer:1549; Puzzle-Platformer:26; Puzzle-platformer:19; 2D Puzzle-Platformer:1; Puzzle platformer:1
67,micro_tags,retro art,5,1582,retro aesthetics | retro style | retro aesthetic | retro design | retro art,retro aesthetics:1289; retro style:234; retro aesthetic:26; retro design:22; retro art:11
68,genre_tree.traits,Multiplayer Only,8,1545,Multiplayer | multiplayer | multiplayer gameplay | Competitive multiplayer | competitive multiplayer | Multiplayer Only | Multiplayer gameplay | Multiplayer only,Multiplayer:1161; multiplayer:368; multiplayer gameplay:6; Competitive multiplayer:3; competitive multiplayer:3; Multiplayer Only:2; Multiplayer gameplay:1; Multiplayer only:1
69,micro_tags,fast-paced action,8,1537,fast-paced | fast-paced action | fast paced | slow-paced | slow paced | high-paced | well-paced | self-paced,fast-paced:1207; fast-paced action:172; fast paced:90; slow-paced:55; slow paced:8; high-paced:2; well-paced:2; self-paced:1
70,genre_tree.sub,Soulslike,1,1489,Soulslike,Soulslike:1489
71,micro_tags,time loops,3,1451,time loop | time-loop | time loops,time loop:1448; time-loop:2; time loops:1
72,genre_tree.traits,Dynamic Environment,6,1445,Dynamic Environments | Dynamic environments | Dynamic Environment | dynamic environments | Dynamic environment | dynamic environment,Dynamic Environments:723; Dynamic environments:366; Dynamic Environment:178; dynamic environments:146; Dynamic environment:17; dynamic environment:15
73,genre_tree.sub,Traditional Roguelike,4,1408,Roguelike | Action Roguelike | Traditional Roguelike | Classic Roguelike,Roguelike:1403; Action Roguelike:2; Traditional Roguelike:2; Classic Roguelike:1
74,micro_tags,mystery,2,1385,mystery | personal mystery,mystery:1384; personal mystery:1
75,genre_tree.sub,Puzzle,1,1384,Puzzle,Puzzle:1384
76,genre_tree.primary,Casual,1,1369,Casual,Casual:1369
77,genre_tree.traits,Character Driven,8,1341,Character-driven | character-driven | Character-Driven | Character Driven | Character-driven story | Character-Based | character-driven story | Character-Driven Story,Character-driven:1103; character-driven:178; Character-Driven:35; Character Driven:9; Character-driven story:9; Character-Based:3; character-driven story:3; Character-Driven Story:1
78,genre_tree.traits,Nonlinear Gameplay,8,1325,Non-linear gameplay | non-linear gameplay | Non-linear Gameplay | linear gameplay | Linear Gameplay | Linear gameplay | Non-Linear Gameplay | Nonlinear Gameplay,Non-linear gameplay:1075; non-linear gameplay:189; Non-linear Gameplay:45; linear gameplay:9; Linear Gameplay:2; Linear gameplay:2; Non-Linear Gameplay:2; Nonlinear Gameplay:1
79,genre_tree.sub,Survival RPG,1,1315,Survival RPG,Survival RPG:1315
80,micro_tags,dynamic narrative,3,1277,dynamic storytelling | dynamic story | dynamic narrative,dynamic storytelling:1252; dynamic story:24; dynamic narrative:1
81,micro_tags,casual gaming,8,1267,casual gameplay | casual play | casual fun | casual gaming | casual RPG | casual gamer | casual multiplayer | casual game,casual gameplay:576; casual play:445; casual fun:134; casual gaming:99; casual RPG:5; casual gamer:3; casual multiplayer:3; casual game:2
82,genre_tree.primary,Indie,1,1263,Indie,Indie:1263
83,genre_tree.traits,Environmental Interaction,6,1257,Environmental interaction | Environmental Interaction | environmental interaction | Environmental interactions | environmental interactions | Environment interaction,Environmental interaction:740; Environmental Interaction:467; environmental interaction:45; Environmental interactions:2; environmental interactions:2; Environment interaction:1
84,genre_tree.primary,Platformer,1,1228,Platformer,Platformer:1228
85,genre_tree.traits,Open World,6,1205,Open World | Open world | open world | Open-world | open-world | open world-ish,Open World:542; Open world:380; open world:202; Open-world:68; open-world:12; open world-ish:1
86,micro_tags,fighting system,4,1200,combat system | battle system | combat systems | fighting system,combat system:1181; battle system:17; combat systems:1; fighting system:1
87,genre_tree.traits,Dynamic Storytelling,5,1197,Dynamic Storytelling | Dynamic storytelling | dynamic storytelling | Dynamic Narrative | Dynamic narrative,Dynamic Storytelling:1019; Dynamic storytelling:131; dynamic storytelling:45; Dynamic Narrative:1; Dynamic narrative:1
88,genre_tree.sub,Visual Novel,1,1189,Visual Novel,Visual Novel:1189
89,genre_tree.traits,Exploration-Focused,6,1160,Exploration-focused | Exploration Focus | exploration-focused | Exploration focused | Exploration focus | Exploration-Focused,Exploration-focused:847; Exploration Focus:142; exploration-focused:124; Exploration focused:38; Exploration focus:8; Exploration-Focused:1
90,micro_tags,narrative driven,5,1154,story-driven | narrative-driven | story driven | narrative driven | driven story,story-driven:663; narrative-driven:408; story driven:80; narrative driven:2; driven story:1
91,genre_tree.sub,Mystery,1,1130,Mystery,Mystery:1130
92,genre_tree.primary,Shooter,1,1121,Shooter,Shooter:1121
93,micro_tags,immersive storytelling,5,1119,immersive storytelling | immersive story | immersive narrative | immersive drama | immersive stories,immersive storytelling:856; immersive story:199; immersive narrative:62; immersive drama:1; immersive stories:1
94,micro_tags,character-driven,3,1096,character-driven | character driven | character-based,character-driven:1092; character driven:3; character-based:1
95,genre_tree.traits,immersive storytelling,7,1073,Immersive Storytelling | Immersive storytelling | immersive storytelling | Immersive Story | immersive narrative | immersive story | Immersive story,Immersive Storytelling:618; Immersive storytelling:330; immersive storytelling:117; Immersive Story:3; immersive narrative:2; immersive story:2; Immersive story:1
96,genre_tree.primary,Narrative,1,1009,Narrative,Narrative:1009
97,genre_tree.sub,Arcade,3,968,Arcade | Arcade Shooter | Arcade shooter,Arcade:711; Arcade Shooter:246; Arcade shooter:11
98,genre_tree.sub,Escape Room,2,947,Escape Room | Room Escape,Escape Room:946; Room Escape:1
99,genre_tree.traits,challenging difficulty,7,928,Challenging | challenging | Challenging Difficulty | Challenging difficulty | challenging difficulty | Challenge | highly challenging,Challenging:807; challenging:101; Challenging Difficulty:6; Challenging difficulty:5; challenging difficulty:5; Challenge:3; highly challenging:1
100,genre_tree.traits,skill-based,4,912,Skill-based | skill-based | Skill-Based | Non-skill based,Skill-based:599; skill-based:221; Skill-Based:91; Non-skill based:1
101,micro_tags,post-apocalypse,5,897,post-apocalyptic | apocalyptic | post apocalyptic | post apocalypse | post-apocalypse,post-apocalyptic:891; apocalyptic:2; post apocalyptic:2; post apocalypse:1; post-apocalypse:1
102,micro_tags,interactive story,4,878,interactive story | interactive storytelling | interactive narrative | interactive tale,interactive story:555; interactive storytelling:213; interactive narrative:109; interactive tale:1
103,genre_tree.traits,Crafting System,8,870,Crafting | Crafting system | Crafting System | crafting | crafting system | Crafting Systems | Crafting systems | item crafting,Crafting:611; Crafting system:76; Crafting System:68; crafting:63; crafting system:40; Crafting Systems:8; Crafting systems:2; item crafting:2
104,genre_tree.sub,Casual,1,858,Casual,Casual:858
105,micro_tags,environmental narrative,3,839,environmental storytelling | environmental narrative | environmental-storytelling,environmental storytelling:836; environmental narrative:2; environmental-storytelling:1
106,genre_tree.traits,Story-rich,5,837,Story-rich | story-rich | Story Rich | Story-Rich | story rich,Story-rich:713; story-rich:74; Story Rich:48; Story-Rich:1; story rich:1
107,genre_tree.primary,Horror,1,811,Horror,Horror:811
108,micro_tags,suspenseful tension,6,801,suspenseful | suspense | suspenseful moments | suspenseful gameplay | suspenseful story | suspenseful tension,suspenseful:416; suspense:361; suspenseful moments:12; suspenseful gameplay:9; suspenseful story:2; suspenseful tension:1
109,genre_tree.traits,Time Manipulation,4,800,Time Manipulation | Time manipulation | time manipulation | Time manipulation mechanics,Time Manipulation:533; Time manipulation:243; time manipulation:22; Time manipulation mechanics:2
110,genre_tree.traits,Player choices,5,783,Player choice | Player Choice | player choice | Player Choices | Player choices,Player choice:328; Player Choice:234; player choice:116; Player Choices:99; Player choices:6
111,micro_tags,complicated mechanics,8,783,simple mechanics | easy mechanics | basic mechanics | simplified mechanics | difficult mechanics | straightforward mechanics | tricky mechanics | complicated mechanics,simple mechanics:694; easy mechanics:39; basic mechanics:27; simplified mechanics:12; difficult mechanics:4; straightforward mechanics:4; tricky mechanics:2; complicated mechanics:1
112,genre_tree.traits,Low Replayability,8,782,Replayability | replayability | Limited Replayability | Endless Replayability | Endless replayability | Limited replayability | Low Replayability | replayability concerns,Replayability:755; replayability:20; Limited Replayability:2; Endless Replayability:1; Endless replayability:1; Limited replayability:1; Low Replayability:1; replayability concerns:1
113,micro_tags,dynamic events,1,775,dynamic events,dynamic events:775
114,micro_tags,fantasy setting,1,765,fantasy setting,fantasy setting:765
115,genre_tree.sub,Platformer,1,742,Platformer,Platformer:742
116,micro_tags,puzzle elements,2,738,puzzle elements | puzzle element,puzzle elements:736; puzzle element:2
117,micro_tags,branching pathways,3,736,branching paths | branching routes | branching pathways,branching paths:732; branching routes:3; branching pathways:1
118,genre_tree.traits,exploratory,2,708,Exploratory | exploratory,Exploratory:666; exploratory:42
119,micro_tags,Early Access,5,696,early access | early access feel | Early Access | early access vibe | early-access,early access:684; early access feel:8; Early Access:2; early access vibe:1; early-access:1
120,micro_tags,challenging difficulty,7,679,challenging | challenge | challenges | challenging difficulty | challenging fun | challenging easy | not challenging,challenging:577; challenge:62; challenges:22; challenging difficulty:14; challenging fun:2; challenging easy:1; not challenging:1
121,genre_tree.traits,Non-Linear,3,677,Non-linear | non-linear | Non-Linear,Non-linear:600; non-linear:75; Non-Linear:2
122,micro_tags,dark humor,2,671,dark humor | dark humour,dark humor:670; dark humour:1
123,micro_tags,nostalgic fun,8,671,nostalgic | nostalgic experience | nostalgic feel | nostalgic vibe | nostalgic fun | nostalgic moments | nostalgic feels | nostalgic childhood,nostalgic:490; nostalgic experience:82; nostalgic feel:82; nostalgic vibe:6; nostalgic fun:5; nostalgic moments:3; nostalgic feels:2; nostalgic childhood:1
124,genre_tree.traits,Non-linear Progression,5,658,Non-linear progression | non-linear progression | Non-linear Progression | Non-Linear Progression | Nonlinear progression,Non-linear progression:571; non-linear progression:58; Non-linear Progression:23; Non-Linear Progression:5; Nonlinear progression:1
125,genre_tree.traits,Immersive experience,4,655,Immersive | immersive experience | Immersive Experience | Immersive experience,Immersive:596; immersive experience:31; Immersive Experience:17; Immersive experience:11
126,micro_tags,varied soundtrack,3,628,dynamic soundtrack | dynamic music | varied soundtrack,dynamic soundtrack:618; dynamic music:9; varied soundtrack:1
127,genre_tree.sub,Turn-based,3,625,Turn-based | Turn-Based | Active Turn-Based,Turn-based:385; Turn-Based:239; Active Turn-Based:1
128,micro_tags,puzzle mystery,3,613,puzzle | puzzle confusion | puzzle mystery,puzzle:611; puzzle confusion:1; puzzle mystery:1
129,genre_tree.traits,casual friendly,8,610,Casual | casual | Casual-friendly | Casual Friendly | casual-friendly | casual friendly | Casual fun | Casual friendly,Casual:542; casual:38; Casual-friendly:13; Casual Friendly:7; casual-friendly:4; casual friendly:3; Casual fun:2; Casual friendly:1
130,genre_tree.traits,Puzzle solving,6,606,Puzzle-solving | puzzle-solving | Puzzle Solving | puzzle solving | Puzzle solving | Puzzle-Solving,Puzzle-solving:368; puzzle-solving:113; Puzzle Solving:108; puzzle solving:10; Puzzle solving:5; Puzzle-Solving:2
131,micro_tags,narrative issue,8,587,narrative | no narrative | simple narrative | personal narrative | compelling narrative | detailed narrative | narrative events | narrative issue,narrative:530; no narrative:27; simple narrative:16; personal narrative:7; compelling narrative:4; detailed narrative:1; narrative events:1; narrative issue:1
132,micro_tags,emotional impact,1,576,emotional impact,emotional impact:576
133,micro_tags,storytelling focus,5,575,narrative focus | story focus | focused narrative | narrative-focused | storytelling focus,narrative focus:527; story focus:45; focused narrative:1; narrative-focused:1; storytelling focus:1
134,micro_tags,visual novel,1,568,visual novel,visual novel:568
135,micro_tags,limited playtime,6,567,short playtime | long playtime | longer playtime | limited playtime | lengthy playtime | shorter playtime,short playtime:489; long playtime:71; longer playtime:3; limited playtime:2; lengthy playtime:1; shorter playtime:1
136,micro_tags,adventure journey,8,559,adventure | adventure game | adventure play | adventure fun | adventure journey | adventure story | character adventure | fun adventure,adventure:530; adventure game:17; adventure play:7; adventure fun:1; adventure journey:1; adventure story:1; character adventure:1; fun adventure:1
137,micro_tags,horror survival,2,543,survival horror | horror survival,survival horror:539; horror survival:4
138,micro_tags,creative level design,5,536,level design | creative level design | excellent level design | fun level design | level design issues,level design:525; creative level design:8; excellent level design:1; fun level design:1; level design issues:1
139,micro_tags,multiple endings,7,527,multiple endings | alternate endings | varied endings | endings | multiple-endings | separate endings | two endings,multiple endings:519; alternate endings:2; varied endings:2; endings:1; multiple-endings:1; separate endings:1; two endings:1
140,micro_tags,arcade vibes,8,521,arcade style | arcade vibes | arcade | arcade-style | arcade design | arcade inspiration | arcade playstyle | arcade-like,arcade style:321; arcade vibes:147; arcade:44; arcade-style:4; arcade design:2; arcade inspiration:1; arcade playstyle:1; arcade-like:1
141,micro_tags,2D pixel-art,7,511,pixel art | pixel-art | 2D pixel art | 2D pixel-art | cute pixel art | non-pixel art | retro pixel art,pixel art:504; pixel-art:2; 2D pixel art:1; 2D pixel-art:1; cute pixel art:1; non-pixel art:1; retro pixel art:1
142,micro_tags,lighthearted humor,6,508,lighthearted | lighthearted tone | lighthearted story | lighthearted fun | lighthearted humor | lighthearted style,lighthearted:383; lighthearted tone:52; lighthearted story:30; lighthearted fun:28; lighthearted humor:14; lighthearted style:1
143,genre_tree.traits,Competitive,2,506,Competitive | competitive,Competitive:393; competitive:113
144,micro_tags,easy to learn,4,505,easy to learn | easy learning | easy-to-learn | simple to learn,easy to learn:496; easy learning:6; easy-to-learn:2; simple to learn:1
145,micro_tags,turn based,2,504,turn-based | turn based,turn-based:495; turn based:9
146,micro_tags,art-style,8,489,art style | artistic style | art styles | art-style | artwork style | fun art style | basic art style | creative art style,art style:302; artistic style:177; art styles:2; art-style:2; artwork style:2; fun art style:2; basic art style:1; creative art style:1
147,micro_tags,limited replayability,8,484,replayability | high replayability | low replayability | limited replayability | endless replayability | no replayability | replayability concerns | minimal replayability,replayability:322; high replayability:92; low replayability:38; limited replayability:17; endless replayability:9; no replayability:3; replayability concerns:2; minimal replayability:1
148,micro_tags,sci-fi,5,484,sci-fi | hard sci-fi | sci-fi world | Sci-Fi | classic sci-fi,sci-fi:478; hard sci-fi:2; sci-fi world:2; Sci-Fi:1; classic sci-fi:1
149,micro_tags,moral decisions,4,483,moral choices | morality choices | ethical choices | moral decisions,moral choices:479; morality choices:2; ethical choices:1; moral decisions:1
150,genre_tree.traits,Character-Focused,7,475,Character-focused | character-focused | Character Focused | character focus | Character Focus | Character focus | Character-Focused,Character-focused:404; character-focused:49; Character Focused:13; character focus:5; Character Focus:2; Character focus:1; Character-Focused:1
151,micro_tags,gameplay difficulty,6,474,challenging gameplay | difficult gameplay | gameplay challenge | gameplay challenges | challenge gameplay | gameplay difficulty,challenging gameplay:434; difficult gameplay:31; gameplay challenge:4; gameplay challenges:3; challenge gameplay:1; gameplay difficulty:1
152,genre_tree.sub,Sandbox,3,467,Sandbox | Creative Sandbox | Sandbox Shooter,Sandbox:452; Creative Sandbox:13; Sandbox Shooter:2
153,micro_tags,weird indie,8,464,indie | indie style | indie feel | indie music | indie creation | indie friendly | unique indie | weird indie,indie:448; indie style:6; indie feel:4; indie music:2; indie creation:1; indie friendly:1; unique indie:1; weird indie:1
154,micro_tags,interactive fun,8,462,interactive | interactive fun | interactive interface | interactive software | interactive systems | interactive visuals | interactive details | non-interactive,interactive:449; interactive fun:3; interactive interface:2; interactive software:2; interactive systems:2; interactive visuals:2; interactive details:1; non-interactive:1
155,micro_tags,platforming fun,8,462,platforming | platforming challenge | platforming fun | challenging platforming | basic platforming | fun platforming | platforming improvement | simple platforming,platforming:383; platforming challenge:55; platforming fun:16; challenging platforming:3; basic platforming:2; fun platforming:1; platforming improvement:1; simple platforming:1
156,micro_tags,action packed,2,457,action-packed | action packed,action-packed:439; action packed:18
157,genre_tree.sub,Multiplayer Battle,6,456,Multiplayer | Multiplayer Shooter | Multiplayer Online | Multiplayer Battle | Multiplayer RPG | Online Multiplayer,Multiplayer:397; Multiplayer Shooter:54; Multiplayer Online:2; Multiplayer Battle:1; Multiplayer RPG:1; Online Multiplayer:1
158,genre_tree.traits,artistic style,8,456,Artistic | Artistic style | Artistic Style | artistic style | artistic | Artistic design | artistic design | Artistic Design,Artistic:234; Artistic style:90; Artistic Style:72; artistic style:27; artistic:18; Artistic design:7; artistic design:5; Artistic Design:3
159,micro_tags,skill-driven,3,453,skill-based | skill based | skill-driven,skill-based:438; skill based:11; skill-driven:4
160,micro_tags,co-op,7,451,co-op | co-op issues | fun co-op | no co-op | co-op friendly | co-op recommended | co-op required,co-op:434; co-op issues:7; fun co-op:4; no co-op:3; co-op friendly:1; co-op recommended:1; co-op required:1
161,micro_tags,indie charm,2,450,indie charm | indie beauty,indie charm:449; indie beauty:1
162,micro_tags,boss battle,7,440,boss battles | boss fights | boss fight | epic boss battles | boss battle | dark boss battles | intense boss battles,boss battles:301; boss fights:131; boss fight:3; epic boss battles:2; boss battle:1; dark boss battles:1; intense boss battles:1
163,micro_tags,family-friendly,2,440,family-friendly | family friendly,family-friendly:286; family friendly:154
164,micro_tags,quick sessions,4,438,short sessions | quick sessions | long sessions | short play sessions,short sessions:242; quick sessions:186; long sessions:8; short play sessions:2
165,genre_tree.sub,First-Person Shooter,7,436,First-Person Shooter | Third-Person Shooter | First-person shooter | Third-person shooter | First Person Shooter | First-person Shooter | Third-person Shooter,First-Person Shooter:310; Third-Person Shooter:61; First-person shooter:36; Third-person shooter:15; First Person Shooter:10; First-person Shooter:3; Third-person Shooter:1
