group_id,context,representative_tag,member_count,total_occurrences,members,member_occurrences
73,narrative,Character Development,6,706,character_development | character-development | character development | Character Development | character_creation | no_character_development,character_development:396; character-development:202; character development:101; Character Development:3; character_creation:3; no_character_development:1
74,vibe,disappointment,2,705,disappointment | Disappointment,disappointment:702; Disappointment:3
75,vibe,Melancholic,3,703,melancholic | Melancholic | melancholic tone,melancholic:701; Melancholic:1; melancholic tone:1
76,mechanics,scene-interaction,12,690,interaction | interactivity | interactions | dialogue-interaction | interacting | object-interaction | UI interaction | limited interaction | physical-interaction | scene-interaction | social interaction | user interaction,interaction:639; interactivity:21; interactions:18; dialogue-interaction:2; interacting:2; object-interaction:2; UI interaction:1; limited interaction:1; physical-interaction:1; scene-interaction:1; social interaction:1; user interaction:1
77,mechanics,puzzles,7,675,puzzles | mini-puzzles | word puzzles | clever puzzles | logic puzzles | math puzzles | simple-puzzles,puzzles:667; mini-puzzles:2; word puzzles:2; clever puzzles:1; logic puzzles:1; math puzzles:1; simple-puzzles:1
78,mechanics,interactive dialogue,11,661,dialogue | dialogue_choices | dialogue_choice | dialogue choices | dialogue-options | character_dialogue | dialogues | Dialogue Choices | dialogue-choice | dialogue-driven | interactive dialogue,dialogue:575; dialogue_choices:35; dialogue_choice:19; dialogue choices:16; dialogue-options:8; character_dialogue:2; dialogues:2; Dialogue Choices:1; dialogue-choice:1; dialogue-driven:1; interactive dialogue:1
79,vibe,quirky,4,648,quirky | quirky_humor | quirky humor | Quirky,quirky:641; quirky_humor:4; quirky humor:2; Quirky:1
80,mechanics,bow shooting,6,643,shooting | shooter | automatic shooting | bow shooting | realistic shooting | shots,shooting:468; shooter:171; automatic shooting:1; bow shooting:1; realistic shooting:1; shots:1
81,mechanics,turn-based,4,632,turn-based | turn_based | turn-based actions | turn based,turn-based:348; turn_based:281; turn-based actions:2; turn based:1
82,mechanics,Class Customization,7,609,customization | Customization | unit customization | customizable | customizing | Class Customization | customize,customization:597; Customization:3; unit customization:3; customizable:2; customizing:2; Class Customization:1; customize:1
83,structure_loop,progression pacing,12,601,pacing | slow pacing | fast_pacing | pacing issues | pacing-issues | progression pacing | tight pacing | Pacing | deliberate pacing | pacing tension | poor pacing | steady pacing,pacing:539; slow pacing:19; fast_pacing:12; pacing issues:9; pacing-issues:8; progression pacing:7; tight pacing:2; Pacing:1; deliberate pacing:1; pacing tension:1; poor pacing:1; steady pacing:1
84,mechanics,upgrades,12,597,upgrades | upgrading | upgrade | upgrade system | unit upgrades | ability upgrades | ability-upgrades | card upgrades | incremental upgrades | unit upgrade | upgrade systems | upgradeable,upgrades:528; upgrading:38; upgrade:12; upgrade system:10; unit upgrades:2; ability upgrades:1; ability-upgrades:1; card upgrades:1; incremental upgrades:1; unit upgrade:1; upgrade systems:1; upgradeable:1
85,narrative,progression,12,596,progression | character progression | no_progression | character-progression | game progression | level progression | player progression | player-progression | progression mystery | progression story | progression-struggle | progression_story,progression:580; character progression:5; no_progression:2; character-progression:1; game progression:1; level progression:1; player progression:1; player-progression:1; progression mystery:1; progression story:1; progression-struggle:1; progression_story:1
86,narrative,community,2,594,community | Community,community:590; Community:4
87,mechanics,Simple Controls,12,591,controls | control | simple controls | intuitive controls | easy controls | Controls | Intuitive Controls | Simple Controls | basic controls | intuitive-controls | poor controls | quirky controls,controls:512; control:37; simple controls:25; intuitive controls:6; easy controls:4; Controls:1; Intuitive Controls:1; Simple Controls:1; basic controls:1; intuitive-controls:1; poor controls:1; quirky controls:1
88,structure_loop,level-up,6,588,leveling up | leveling | leveling_up | level-up | leveling-up | level_up,leveling up:291; leveling:275; leveling_up:11; level-up:5; leveling-up:4; level_up:2
89,uniqueness,single-player focus,6,573,multiplayer focus | multiplayer_focus | multiplayer-focus | single-player focus | local multiplayer focus | local_multiplayer_focus,multiplayer focus:508; multiplayer_focus:35; multiplayer-focus:26; single-player focus:2; local multiplayer focus:1; local_multiplayer_focus:1
90,vibe,chaotic fun,6,565,chaotic | chaos | Chaotic | chaotic fun | Chaos | chaotic feel,chaotic:502; chaos:55; Chaotic:4; chaotic fun:2; Chaos:1; chaotic feel:1
91,vibe,casual_friendly,7,564,casual | casual fun | casual_fun | Casual | casual feel | casual play | casual_friendly,casual:547; casual fun:6; casual_fun:4; Casual:3; casual feel:2; casual play:1; casual_friendly:1
92,narrative,discovery,4,506,discovery | self-discovery | scientific_discovery | scientific discovery,discovery:357; self-discovery:145; scientific_discovery:3; scientific discovery:1
93,mechanics,inventory_management,8,505,inventory | inventory_management | inventory-management | inventory management | inventory_system | inventory puzzles | Inventory management | inventory_puzzle,inventory:302; inventory_management:90; inventory-management:73; inventory management:33; inventory_system:3; inventory puzzles:2; Inventory management:1; inventory_puzzle:1
94,mechanics,story progression,12,499,progression | character progression | level progression | RPG progression | Progression | character-progression | progression system | story progression | ability-progression | endless progression | level-progression | progression systems,progression:417; character progression:32; level progression:27; RPG progression:7; Progression:3; character-progression:3; progression system:3; story progression:3; ability-progression:1; endless progression:1; level-progression:1; progression systems:1
95,vibe,atmospheric,4,494,atmospheric | atmosphere | cool atmosphere | Atmospheric,atmospheric:463; atmosphere:28; cool atmosphere:2; Atmospheric:1
96,narrative,background themes,12,484,themes | theme | classic themes | simple themes | background themes | generic themes | light themes | magic themes | modern themes | music themes | relatable themes | themes of color,themes:450; theme:16; classic themes:8; simple themes:2; background themes:1; generic themes:1; light themes:1; magic themes:1; modern themes:1; music themes:1; relatable themes:1; themes of color:1
97,vibe,satisfaction,2,482,satisfaction | mild satisfaction,satisfaction:481; mild satisfaction:1
98,mechanics,decision-making,7,474,decision-making | decision_making | choice_making | decision making | decision | decision time | decisions,decision-making:312; decision_making:143; choice_making:8; decision making:7; decision:2; decision time:1; decisions:1
99,vibe,Fun,2,470,fun | Fun,fun:468; Fun:2
100,vibe,90s Nostalgia,3,469,nostalgia | Nostalgia | 90s Nostalgia,nostalgia:466; Nostalgia:2; 90s Nostalgia:1
101,vibe,relaxing,2,467,relaxing | Relaxing,relaxing:466; Relaxing:1
102,vibe,Charming,2,464,charming | Charming,charming:463; Charming:1
103,structure_loop,character-growth,3,462,character_growth | character-growth | character growth,character_growth:459; character-growth:2; character growth:1
104,uniqueness,immersive_vr,12,461,VR_experience | VR experience | VR | VR-experience | vr_experience | VR Experience | VR_innovation | VR_mode | VR_potential | VR_design | VR_experimentation | immersive_vr,VR_experience:280; VR experience:63; VR:53; VR-experience:43; vr_experience:9; VR Experience:3; VR_innovation:3; VR_mode:2; VR_potential:2; VR_design:1; VR_experimentation:1; immersive_vr:1
105,vibe,competitiveness,3,444,competitive | Competitive | competitiveness,competitive:442; Competitive:1; competitiveness:1
106,narrative,internal conflict,6,429,conflict | conflict resolution | inner conflict | Conflict | internal conflict | political_conflict,conflict:413; conflict resolution:9; inner conflict:3; Conflict:2; internal conflict:1; political_conflict:1
107,narrative,fantasy world,4,419,fantasy | fantasy setting | fantasy world | high fantasy,fantasy:407; fantasy setting:8; fantasy world:3; high fantasy:1
108,structure_loop,game_progression,2,414,level_progression | game_progression,level_progression:412; game_progression:2
109,mechanics,fast movement,12,413,movement | realistic_movement | abstract movement | advanced movement | fast movement | fast-movement | free movement | motion | movement strategy | natural movement | realistic movement | spatial movement,movement:401; realistic_movement:2; abstract movement:1; advanced movement:1; fast movement:1; fast-movement:1; free movement:1; motion:1; movement strategy:1; natural movement:1; realistic movement:1; spatial movement:1
110,structure_loop,mission_control,8,409,mission_based | mission-based | mission_variety | mission_design | mission_structure | Mission-Based | mission_control | mission_types,mission_based:202; mission-based:179; mission_variety:15; mission_design:5; mission_structure:5; Mission-Based:1; mission_control:1; mission_types:1
111,vibe,Exciting,2,405,exciting | Exciting,exciting:402; Exciting:3
112,structure_loop,feedback-loops,9,402,feedback_loops | feedback-loops | feedback loop | feedback loops | feedback_cycle | feedback_loop | feedback-loop | feedback_cycles | Feedback Loops,feedback_loops:310; feedback-loops:33; feedback loop:18; feedback loops:15; feedback_cycle:10; feedback_loop:8; feedback-loop:4; feedback_cycles:3; Feedback Loops:1
113,uniqueness,visual-style,4,389,visual_style | visual style | visual-style | Visual Style,visual_style:283; visual style:68; visual-style:36; Visual Style:2
114,mechanics,building_construction,9,382,building | construction | city-building | building_construction | city building | building mechanics | factory building | tower-building | town building,building:341; construction:22; city-building:9; building_construction:3; city building:3; building mechanics:1; factory building:1; tower-building:1; town building:1
115,structure_loop,rest,1,381,rest,rest:381
116,vibe,addictiveness,5,373,addictive | addicting | addictiveness | addiction | Addictive,addictive:349; addicting:12; addictiveness:7; addiction:3; Addictive:2
117,mechanics,collect,5,368,collectibles | collecting | collectables | collect | item collecting,collectibles:215; collecting:136; collectables:15; collect:1; item collecting:1
118,structure_loop,puzzle solving,7,357,puzzle_solving | puzzle-solving | puzzle solving | puzzles | puzzle challenges | puzzle difficulty | solving_puzzles,puzzle_solving:229; puzzle-solving:83; puzzle solving:28; puzzles:12; puzzle challenges:3; puzzle difficulty:1; solving_puzzles:1
119,vibe,mediocre tension,3,353,tension | Tension | mediocre tension,tension:351; Tension:1; mediocre tension:1
120,uniqueness,story-depth,10,350,narrative depth | narrative_depth | narrative-depth | narrative-structure | layered-narrative | story depth | deep narrative | deep-narrative | multilayered-narrative | story-depth,narrative depth:223; narrative_depth:78; narrative-depth:35; narrative-structure:4; layered-narrative:3; story depth:3; deep narrative:1; deep-narrative:1; multilayered-narrative:1; story-depth:1
121,mechanics,power ups,7,348,power-ups | power_ups | powerups | power ups | powerup | power-up | power-up system,power-ups:209; power_ups:72; powerups:59; power ups:4; powerup:2; power-up:1; power-up system:1
122,mechanics,options,5,343,choices | choice | options | Choices | limited choices,choices:208; choice:127; options:6; Choices:1; limited choices:1
123,vibe,uplifting,1,343,uplifting,uplifting:343
124,uniqueness,dynamic_weather,2,340,dynamic weather | dynamic_weather,dynamic weather:335; dynamic_weather:5
125,structure_loop,discovery,2,339,discovery | discovering,discovery:338; discovering:1
126,structure_loop,non_linear_progression,7,337,linear_progression | linear progression | linear-progression | nonlinear_progression | non-linear progression | non-linear_progression | non_linear_progression,linear_progression:236; linear progression:93; linear-progression:3; nonlinear_progression:2; non-linear progression:1; non-linear_progression:1; non_linear_progression:1
127,vibe,strategic,3,333,strategic | strategic planning | strategic_thinking,strategic:329; strategic planning:2; strategic_thinking:2
128,structure_loop,fast-paced,11,331,fast-paced | fast_paced | slow-paced | slow_paced | fast paced | Fast-paced | fast-paced action | fast-paced flow | fast-paced_action | paced | self-paced,fast-paced:167; fast_paced:93; slow-paced:51; slow_paced:12; fast paced:2; Fast-paced:1; fast-paced action:1; fast-paced flow:1; fast-paced_action:1; paced:1; self-paced:1
129,mechanics,level_creation,9,325,level_design | level design | level-design | custom_levels | level_creation | level_generation | level_builder | level_building | level_layouts,level_design:243; level design:47; level-design:17; custom_levels:5; level_creation:5; level_generation:4; level_builder:2; level_building:1; level_layouts:1
130,mechanics,easy_difficulty,7,322,difficulty | challenging | difficulty-options | difficult | easy_difficulty | fixed difficulty | increasing difficulty,difficulty:275; challenging:41; difficulty-options:2; difficult:1; easy_difficulty:1; fixed difficulty:1; increasing difficulty:1
131,uniqueness,character-depth,3,321,character_depth | character depth | character-depth,character_depth:272; character depth:41; character-depth:8
132,vibe,Humorous,3,317,humorous | amusing | Humorous,humorous:297; amusing:19; Humorous:1
133,narrative,creativity,1,311,creativity,creativity:311
134,mechanics,track navigation,10,308,navigation | menu navigation | map-navigation | navigating | 3D Navigation | level-navigation | map navigation | navigation challenges | track navigation | world-navigation,navigation:292; menu navigation:6; map-navigation:2; navigating:2; 3D Navigation:1; level-navigation:1; map navigation:1; navigation challenges:1; track navigation:1; world-navigation:1
